name,slug,nationality,countryCode,club,league,position,positionGroup,birthDate,heightCm,preferredFoot,active,popularity,imageUrl,clubLogoUrl
Kepa Arrizabalaga,kepa-arrizabalaga,Spain,ES,Arsenal FC,PREMIER_LEAGUE,Goalkeeper,GOALKEEPER,1994-10-03,,,true,50,,https://crests.football-data.org/57.png
David Raya,david-raya,Spain,ES,Arsenal FC,PREMIER_LEAGUE,Goalkeeper,GOALKEEPER,1995-09-15,,,true,50,,https://crests.football-data.org/57.png
Illan Meslier,illan-meslier,France,FR,Arsenal FC,PREMIER_LEAGUE,Goalkeeper,GOALKEEPER,2000-03-02,,,true,50,,https://crests.football-data.org/57.png
Tommy Setford,tommy-setford,England,GB,Arsenal FC,PREMIER_LEAGUE,Goalkeeper,GOALKEEPER,2006-03-13,,,true,50,,https://crests.football-data.org/57.png
Ben White,ben-white,England,GB,Arsenal FC,PREMIER_LEAGUE,Defender,DEFENDER,1997-10-08,,,true,50,,https://crests.football-data.org/57.png
Ezri Konsa,ezri-konsa,England,GB,Arsenal FC,PREMIER_LEAGUE,Defender,DEFENDER,1997-10-23,,,true,50,,https://crests.football-data.org/57.png
Gabriel Magalhães,gabriel-magalhaes,Brazil,BR,Arsenal FC,PREMIER_LEAGUE,Defender,DEFENDER,1997-12-19,,,true,50,,https://crests.football-data.org/57.png
William Saliba,william-saliba,France,FR,Arsenal FC,PREMIER_LEAGUE,Defender,DEFENDER,2001-03-24,,,true,50,,https://crests.football-data.org/57.png
Jurrien Timber,jurrien-timber,Netherlands,NL,Arsenal FC,PREMIER_LEAGUE,Defender,DEFENDER,2001-06-17,,,true,50,,https://crests.football-data.org/57.png
Piero Hincapié,piero-hincapie,Ecuador,EC,Arsenal FC,PREMIER_LEAGUE,Defender,DEFENDER,2002-01-09,,,true,50,,https://crests.football-data.org/57.png
Riccardo Calafiori,riccardo-calafiori,Italy,IT,Arsenal FC,PREMIER_LEAGUE,Defender,DEFENDER,2002-05-19,,,true,50,,https://crests.football-data.org/57.png
Cristhian Mosquera,cristhian-mosquera,Spain,ES,Arsenal FC,PREMIER_LEAGUE,Defender,DEFENDER,2004-06-27,,,true,50,,https://crests.football-data.org/57.png
Myles Lewis-Skelly,myles-lewis-skelly,England,GB,Arsenal FC,PREMIER_LEAGUE,Defender,DEFENDER,2006-09-26,,,true,50,,https://crests.football-data.org/57.png
Bruno Guimarães,bruno-guimaraes,Brazil,BR,Arsenal FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,1997-11-16,,,true,50,,https://crests.football-data.org/57.png
Eberechi Eze,eberechi-eze,England,GB,Arsenal FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,1998-06-29,,,true,50,,https://crests.football-data.org/57.png
